game_date,home_team,away_team,catcher_id,Name,MLBAMID,Team,STD_POS
2024-10-30,NYY,LAD,669257,Will Smith,669257,LAD,C
2024-10-30,NYY,LAD,669224,Austin Wells,669224,NYY,C
2024-10-29,NYY,LAD,669224,Austin Wells,669224,NYY,C
2024-10-29,NYY,LAD,669257,Will Smith,669257,LAD,C
2024-10-28,NYY,LAD,669257,Will Smith,669257,LAD,C
2024-10-28,NYY,LAD,669224,Austin Wells,669224,NYY,C
2024-10-28,NYY,LAD,624431,Jose Trevino,624431,NYY,C
2024-10-26,LAD,NYY,669257,Will Smith,669257,LAD,C
2024-10-26,LAD,NYY,669224,Austin Wells,669224,NYY,C
2024-10-25,LAD,NYY,669224,Austin Wells,669224,NYY,C
2024-10-25,LAD,NYY,669257,Will Smith,669257,LAD,C
2024-10-20,LAD,NYM,669257,Will Smith,669257,LAD,C
2024-10-20,LAD,NYM,682626,Francisco Alvarez,682626,NYM,C
2024-10-19,CLE,NYY,624431,Jose Trevino,624431,NYY,C
2024-10-19,CLE,NYY,666310,Bo Naylor,666310,CLE,C
2024-10-19,CLE,NYY,669224,Austin Wells,669224,NYY,C
2024-10-18,CLE,NYY,669224,Austin Wells,669224,NYY,C
2024-10-18,CLE,NYY,666310,Bo Naylor,666310,CLE,C
2024-10-18,CLE,NYY,595978,Austin Hedges,595978,CLE,C
2024-10-18,NYM,LAD,682626,Francisco Alvarez,682626,NYM,C
2024-10-18,NYM,LAD,605131,Austin Barnes,605131,LAD,C
2024-10-18,NYM,LAD,669257,Will Smith,669257,LAD,C
2024-10-17,CLE,NYY,669224,Austin Wells,669224,NYY,C
2024-10-17,CLE,NYY,666310,Bo Naylor,666310,CLE,C
2024-10-17,CLE,NYY,595978,Austin Hedges,595978,CLE,C
2024-10-17,CLE,NYY,624431,Jose Trevino,624431,NYY,C
2024-10-17,NYM,LAD,669257,Will Smith,669257,LAD,C
2024-10-17,NYM,LAD,620443,Luis Torrens,620443,NYM,C
2024-10-17,NYM,LAD,682626,Francisco Alvarez,682626,NYM,C
2024-10-16,NYM,LAD,669257,Will Smith,669257,LAD,C
2024-10-16,NYM,LAD,682626,Francisco Alvarez,682626,NYM,C
2024-10-15,NYY,CLE,669224,Austin Wells,669224,NYY,C
2024-10-15,NYY,CLE,595978,Austin Hedges,595978,CLE,C
2024-10-15,NYY,CLE,666310,Bo Naylor,666310,CLE,C
2024-10-14,NYY,CLE,669224,Austin Wells,669224,NYY,C
2024-10-14,NYY,CLE,595978,Austin Hedges,595978,CLE,C
2024-10-14,NYY,CLE,666310,Bo Naylor,666310,CLE,C
2024-10-14,LAD,NYM,682626,Francisco Alvarez,682626,NYM,C
2024-10-14,LAD,NYM,669257,Will Smith,669257,LAD,C
2024-10-13,LAD,NYM,669257,Will Smith,669257,LAD,C
2024-10-13,LAD,NYM,682626,Francisco Alvarez,682626,NYM,C
2024-10-12,CLE,DET,595978,Austin Hedges,595978,CLE,C
2024-10-12,CLE,DET,668670,Jake Rogers,668670,DET,C
2024-10-12,CLE,DET,666310,Bo Naylor,666310,CLE,C
2024-10-11,LAD,SD,669257,Will Smith,669257,LAD,C
2024-10-11,LAD,SD,543309,Kyle Higashioka,543309,SD,C
