"last_name","first_name","player_id","year","n_called_pitches","runs_extra_strikes","strike_rate","strike_rate_11","strike_rate_12","strike_rate_13","strike_rate_14","strike_rate_16","strike_rate_17","strike_rate_18","strike_rate_19"
"League Average","","","2024","144794",0,"46.4","18.9","48.1","23.1","58.8","65.7","29.2","49.2","23.4"
"Bailey","Patrick","672275","2024","3214","16","52.5","23.3","57.4","28.4","64.6","70.5","29.8","54.8","32.2"
"Raleigh","Cal","663728","2024","3404","13","49.1","22.4","55","30","60.9","68.5","30","46.3","28.4"
"Wells","Austin","669224","2024","3111","12","48.6","23","49.3","23.9","58.1","66","31.5","55.1","29.3"
"Kirk","Alejandro","672386","2024","2586","10","49.8","21.7","50.7","21.9","67.3","61.2","34.6","56.1","28.8"
"Trevino","Jose","624431","2024","1890","10","50.7","22.3","47.3","19","61","74.4","33.6","52.4","35.7"
"Rogers","Jake","668670","2024","2525","9","51","19.6","52.6","26.7","61.7","64.3","35.5","59","30.1"
"Naylor","Bo","666310","2024","3105","8","49.3","23.9","48.4","19.6","66.9","68.1","34.8","50.2","22"
"Hedges","Austin","595978","2024","1464","6","50.8","29.2","53.1","18.3","62.2","69.8","30.6","54.6","24.8"
"Alvarez","Francisco","682626","2024","2754","6","46.7","15.2","48","22.1","52.3","66.2","35.7","53.9","28.4"
"Grandal","Yasmani","518735","2024","1843","6","48.8","12.3","48.8","29","47.5","70.6","34.4","52.1","37.6"
"Vázquez","Christian","543877","2024","2306","6","49.1","17.4","53.5","29.6","63.8","72.8","27.9","44.7","27.7"
"Jackson","Alex","656577","2024","1297","4","50.9","11.3","53.7","26.2","55.6","71.6","17","58.2","29.6"
"Caratini","Victor","605170","2024","1581","3","49.1","19.6","52.2","29.6","65.4","68.6","30","48","24.1"
"Moreno","Gabriel","672515","2024","2436","2","47.4","17.9","37.1","16","60.7","65.5","36.4","59","21.9"
"Herrera","Jose","645444","2024","984","2","48.5","14.9","52.9","28.3","58.5","65.2","30.6","46.6","30"
"Murphy","Sean","669221","2024","1950","2","47.3","13","44.3","22","55.2","69.4","30.6","54.9","23"
