"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-10-30","Mark Ripperger","NYY","LAD","6","7","199","8","16.6","191","182.4","8.6","96","91.7","4.3","95.5","1.64","2.16"
"","2024-10-29","Doug Eddings","NYY","LAD","11","4","171","12","10.9","159","160.1","-1.1","93","93.6","-0.7","93.6","0.12","1.18"
"","2024-10-28","Mark Carlson","NYY","LAD","2","4","211","12","13.6","199","197.4","1.6","94.3","93.5","0.8","93.8","0.99","2.09"
"","2024-10-26","Andy Fletcher","LAD","NYY","4","2","145","4","8.1","141","136.9","4.1","97.2","94.4","2.8","94.5","-0.3","0.46"
"","2024-10-25","Carlos Torres","LAD","NYY","6","3","159","11","8.3","148","150.7","-2.7","93.1","94.8","-1.7","92.5","0.41","1.11"
"","2024-10-20","David Rackley","LAD","NYM","10","5","169","13","11.6","156","157.4","-1.4","92.3","93.1","-0.8","92.9","0.06","1.5"
"","2024-10-19","Alan Porter","CLE","NYY","2","5","147","3","6.1","144","140.9","3.1","98","95.9","2.1","92.5","0.4","0.4"
"","2024-10-18","Bill Miller","NYM","LAD","12","6","166","4","8.8","162","157.2","4.8","97.6","94.7","2.9","96.4","0.04","0.48"
"","2024-10-18","Chris Segal","CLE","NYY","6","8","182","7","8.6","175","173.4","1.6","96.2","95.3","0.9","98.4","-0.47","1.21"
"","2024-10-17","Nic Lentz","NYM","LAD","2","10","195","10","12","185","183","2","94.9","93.8","1","92.3","-0.94","2.28"
"","2024-10-17","Dan Iassogna","CLE","NYY","7","5","185","12","12","173","173","0","93.5","93.5","0","93.5","-0.16","1.48"
"","2024-10-16","Marvin Hudson","NYM","LAD","0","8","204","7","11.5","197","192.5","4.5","96.6","94.3","2.2","96.1","-0.69","1.85"
"","2024-10-15","Gabe Morales","NYY","CLE","6","3","163","12","10.8","151","152.2","-1.2","92.6","93.4","-0.7","90.8","0.16","2"
"","2024-10-14","Mike Estabrook","NYY","CLE","5","2","163","6","9.7","157","153.3","3.7","96.3","94.1","2.2","93.9","-0.02","0.84"
"","2024-10-14","Mike Muchlinski","LAD","NYM","3","7","189","7","13.7","182","175.3","6.7","96.3","92.8","3.5","94.7","0.36","1.2"
"","2024-10-13","Jeremie Rehak","LAD","NYM","9","0","158","8","8.6","150","149.4","0.6","94.9","94.5","0.4","93.7","0.57","1.33"
"","2024-10-12","Chad Fairchild","CLE","DET","7","3","147","5","6.2","142","140.8","1.2","96.6","95.8","0.8","95.2","0.53","0.53"
"","2024-10-11","Tripp Gibson","LAD","SD","2","0","103","6","5.1","97","97.9","-0.9","94.2","95","-0.8","94.2","0.09","0.49"
"","2024-10-10","Mark Carlson","KC","NYY","1","3","132","6","11.4","126","120.6","5.4","95.5","91.4","4.1","91.7","-0.59","0.79"
"","2024-10-10","Todd Tichenor","DET","CLE","4","5","149","3","6.9","146","142.1","3.9","98","95.3","2.6","95.3","0.02","0.3"
"","2024-10-09","Dan Bellino","SD","LAD","0","8","155","9","10.2","146","144.8","1.2","94.2","93.4","0.7","92.3","0.14","0.8"
"","2024-10-09","James Hoye","NYM","PHI","4","1","179","9","11.7","170","167.3","2.7","95","93.5","1.5","93.9","0.67","1.13"
"","2024-10-09","Lance Barrett","KC","NYY","2","3","170","13","9.3","157","160.7","-3.7","92.4","94.5","-2.2","93.5","-0.72","1.78"
"","2024-10-09","Jim Wolf","DET","CLE","3","0","134","10","8.5","124","125.5","-1.5","92.5","93.6","-1.1","94.8","-0.01","0.93"
"","2024-10-08","Cory Blaser","SD","LAD","6","5","118","4","7.7","114","110.3","3.7","96.6","93.5","3.1","95.8","-0.2","0.36"
